DATE_HISTO,INDEX_DAY_WEEK,INDEX_WEEK_MONTH,INDEX_WEEK_YEAR,IS_PENSION_DAY,IS_SALARY_DAY,IS_WEEKEND_DAY,VAL_DD,VAL_MM,VAL_YYYY,REF_ID_ATM,MNT_RETRAIT,MOVING_AVERAGE_3D,MOVING_STD_7D,MOVING_AVERAGE_7D,SUM_WITHDRAWAL_7D,WITHDRAWAL_RATIO_3D,WITHDRAWAL_RATIO_7D,IS_WITHDRAWAL_SPIKE
2018-01-09,1,2,2,0,0,0,9,1,2018,116,199079,119496.33333333333,50335.34841913959,129922.14285714286,909455.0,1.6659841724571745,1.5322946160062896,1
2018-01-10,2,2,2,0,0,0,10,1,2018,116,78145,155177.33333333334,52459.02040277759,131401.57142857142,919811.0,0.5035851455968655,0.5947036945633397,0
2018-01-11,3,2,2,0,0,0,11,1,2018,116,84482,156416.66666666666,55002.12138159925,128622.14285714286,900355.0,0.540108684070325,0.6568231419828845,0
2018-01-12,4,2,2,0,0,0,12,1,2018,116,128759,120568.66666666667,54342.55867751381,116926.42857142857,818485.0,1.0679308609754883,1.1011967232142312,0
2018-01-13,5,2,2,0,0,1,13,1,2018,116,81335,97128.66666666667,53818.75838846689,121279.14285714286,848954.0,0.8373943840815962,0.6706429323614708,0
2018-01-14,6,2,2,0,0,1,14,1,2018,116,186301,98192.0,54928.388075921466,119750.42857142857,838253.0,1.8973134267557439,1.5557439102514397,1
2018-01-15,0,3,3,0,0,0,15,1,2018,116,78901,132131.66666666666,55811.53108410815,135732.42857142858,950127.0,0.5971392171949698,0.5812980790988994,0
2018-01-16,1,3,3,0,0,0,16,1,2018,116,262492,115512.33333333333,53107.16570832427,119571.71428571429,837002.0,2.2724153553588797,2.19526835061326,1
2018-01-17,2,3,3,0,0,0,17,1,2018,116,248655,175898.0,71242.03758716771,128630.71428571429,900415.0,1.413631763863148,1.9330919631503252,1
2018-01-18,3,3,3,0,0,0,18,1,2018,116,232073,196682.66666666666,79745.64702584977,152989.2857142857,1070925.0,1.179936208579641,1.5169232205803396,1
2018-01-19,4,3,3,1,0,0,19,1,2018,116,175603,247740.0,78108.17615058893,174073.7142857143,1218516.0,0.7088197303624768,1.008785276516681,0
2018-01-20,5,3,3,1,0,1,20,1,2018,116,50837,218777.0,75543.3191679103,180765.7142857143,1265360.0,0.23236903330788886,0.2812314282101536,0
2018-01-21,6,3,3,1,0,1,21,1,2018,116,113283,152837.66666666666,82767.63341715281,176408.85714285713,1234862.0,0.7411981775871131,0.6421616342554877,0
2018-01-22,0,4,4,0,0,0,22,1,2018,116,79621,113241.0,85856.70718259635,165977.7142857143,1161844.0,0.7031110640139172,0.4797089798630453,0
2018-01-23,1,4,4,0,0,0,23,1,2018,116,67213,81247.0,85735.34751753432,166080.57142857142,1162564.0,0.8272674683372925,0.40470116053825855,0
2018-01-24,2,4,4,0,0,0,24,1,2018,116,171148,86705.66666666667,80762.23719630584,138183.57142857142,967285.0,1.9738963620217056,1.2385553378787018,0
2018-01-25,3,4,4,0,0,0,25,1,2018,116,242079,105994.0,67280.21011765771,127111.14285714286,889778.0,2.283893427929883,1.904467181701503,1
2018-01-26,4,4,4,0,0,0,26,1,2018,116,68318,160146.66666666666,69935.77279632383,128540.57142857143,899784.0,0.42659645325118645,0.5314897797693668,0
2018-01-27,5,4,4,0,0,1,27,1,2018,116,174548,160515.0,69658.28969196344,113214.14285714286,792499.0,1.0874248512600069,1.5417508413259828,1
2018-01-28,6,4,4,0,0,1,28,1,2018,116,75489,161648.33333333334,66830.94781468766,130887.14285714286,916210.0,0.466995226262772,0.5767487803014593,0
2018-01-29,0,5,5,0,1,0,29,1,2018,116,196641,106118.33333333333,69944.31915936165,125488.0,878416.0,1.8530351337343531,1.56701039143185,1
2018-01-30,1,5,5,0,1,0,30,1,2018,116,116686,148892.66666666666,71128.96076711307,142205.14285714287,995436.0,0.7836920555747093,0.8205469764002908,0
2018-01-31,2,5,5,0,1,0,31,1,2018,116,154944,129605.33333333333,64593.247272745815,149272.7142857143,1044909.0,1.1955063577630551,1.0379927821465793,0
2018-02-01,3,1,5,0,1,0,1,2,2018,116,151604,156090.33333333334,63965.94272326624,146957.85714285713,1028705.0,0.9712580962733117,1.0316154777122695,0
2018-02-02,4,1,5,0,1,0,2,2,2018,116,159137,141078.0,48911.51265441337,134032.85714285713,938230.0,1.1280072016898453,1.1872984236274688,0
2018-02-03,5,1,5,0,1,1,3,2,2018,116,65046,155228.33333333334,39764.92021870517,147007.0,1029049.0,0.41903432577815475,0.442468725979035,0
2018-02-04,6,1,5,0,1,1,4,2,2018,116,122731,125262.33333333333,47842.8620431112,131363.85714285713,919547.0,0.9797917437271646,0.9342828588424519,0
2018-02-05,0,1,6,0,1,0,5,2,2018,116,105345,115638.0,41567.883723351595,138112.7142857143,966789.0,0.9109894671301821,0.7627465765539326,0
2018-02-06,1,1,6,0,0,0,6,2,2018,116,124821,97707.33333333333,33726.32032926743,125070.42857142857,875493.0,1.277498788900185,0.9980056950769453,0
2018-02-07,2,1,6,0,0,0,7,2,2018,116,132938,117632.33333333333,33528.83743315632,126232.57142857143,883628.0,1.1301144526589912,1.0531196385809412,0
2018-02-08,3,2,6,0,0,0,8,2,2018,116,138249,121034.66666666667,31348.93326961593,123088.85714285714,861622.0,1.1422264695514233,1.123164218183844,0
2018-02-09,4,2,6,0,0,0,9,2,2018,116,126249,132002.66666666666,29686.61547454185,121181.0,848267.0,0.9564124967172382,1.0418217377311625,0
2018-02-10,5,2,6,0,0,1,10,2,2018,116,135560,132478.66666666666,24894.043120890055,116482.71428571429,815379.0,1.0232590907718475,1.1637778260171037,0
2018-02-11,6,2,6,0,0,1,11,2,2018,116,145771,133352.66666666666,11001.286355520793,126556.14285714286,885893.0,1.093123997020432,1.1518287197212305,0
2018-02-12,0,2,7,0,0,0,12,2,2018,116,66504,135860.0,12941.627355901845,129847.57142857143,908933.0,0.48950390107463565,0.5121697638879873,0
2018-02-13,1,2,7,0,0,0,13,2,2018,116,174685,115945.0,26462.01281981714,124298.85714285714,870092.0,1.5066195178748545,1.4053628811665893,0
